bio,lemmatized_tokens,flag_classification,reason
"Coffee addict, book hoarder, chaos enthusiast.","['coffee', 'addict', 'book', 'hoarder', 'chaos', 'enthusiast']",🙂Mixed Signal,"['coffee', 'enthusiast', 'chaos']"
Introvert seeking someone to share music and snacks with.,"['introvert', 'seeking', 'someone', 'share', 'music', 'snack']",🌿Green Flag,['share']
music is life,"['music', 'life']",🌿Green Flag,['life']
Beach walks > club nights.,"['beach', 'walk', 'club', 'night']",🤷‍♂️No Clear Signal,[]
introverted but witty,"['introverted', 'witty']",🤷‍♂️No Clear Signal,[]
might ghost accidentally,"['might', 'ghost', 'accidentally']",🚩Red Flag,['ghost']
coffee & chaos vibes,"['coffee', 'chaos', 'vibe']",🙂Mixed Signal,"['coffee', 'chaos']"
Gamer seeking co-pilot for life’s adventures.,"['gamer', 'seeking', 'copilot', 'life', 'adventure']",🌿Green Flag,['life']
Loves hiking trails and beach walks.,"['love', 'hiking', 'trail', 'beach', 'walk']",🌿Green Flag,['love']
Loves live music and random adventures.,"['love', 'live', 'music', 'random', 'adventure']",🌿Green Flag,['love']
Flirt like you’re desperate,"['flirt', 'like', 'youre', 'desperate']",🚩Red Flag,['flirt']
emojis are life ❤️🔥😂,"['emojis', 'life']",🌿Green Flag,['life']
chaotic energy vibes,"['chaotic', 'energy', 'vibe']",🤷‍♂️No Clear Signal,[]
"Can’t parallel park, but can parallel snack","['cant', 'parallel', 'park', 'parallel', 'snack']",🤷‍♂️No Clear Signal,[]
sarcastic AF,"['sarcastic', 'af']",🤷‍♂️No Clear Signal,[]
"if ur boring, i’ll probably block u mid convo","['ur', 'boring', 'ill', 'probably', 'block', 'u', 'mid', 'convo']",🚩Red Flag,"['boring', 'block']"
Pizza enthusiast and professional napper 🍕😴,"['pizza', 'enthusiast', 'professional', 'napper']",🌿Green Flag,"['pizza', 'enthusiast', 'professional']"
"Loves spicy food, hates blandness.","['love', 'spicy', 'food', 'hate', 'blandness']",🌿Green Flag,['love']
chaotic brain energy,"['chaotic', 'brain', 'energy']",🤷‍♂️No Clear Signal,[]
binge watcher forever,"['binge', 'watcher', 'forever']",🤷‍♂️No Clear Signal,[]
might steal ur hoodie,"['might', 'steal', 'ur', 'hoodie']",🚩Red Flag,['steal']
Dog whisperer,"['dog', 'whisperer']",🌿Green Flag,['dog']
"sometimes dramatic, always honest","['sometimes', 'dramatic', 'always', 'honest']",🙂Mixed Signal,"['always', 'honest', 'dramatic']"
"Adventure seeker, struggles with routine.","['adventure', 'seeker', 'struggle', 'routine']",🤷‍♂️No Clear Signal,[]
"Avid reader, bad dancer, good listener.","['avid', 'reader', 'bad', 'dancer', 'good', 'listener']",🙂Mixed Signal,"['listener', 'bad']"
Sarcasm is my love language,"['sarcasm', 'love', 'language']",🙂Mixed Signal,"['love', 'sarcasm']"
"I’m not everyone’s cup of tea, but I’m warm","['im', 'everyones', 'cup', 'tea', 'im', 'warm']",🌿Green Flag,['warm']
obsessed w astrology,"['obsessed', 'w', 'astrology']",🚩Red Flag,['obsessed']
i overcommit but cute,"['overcommit', 'cute']",🤷‍♂️No Clear Signal,[]
"Obsessed with street food, music, and laughter.","['obsessed', 'street', 'food', 'music', 'laughter']",🚩Red Flag,['obsessed']
i scream at games,"['scream', 'game']",🤷‍♂️No Clear Signal,[]
"Fluent in sarcasm, terrible at texting.","['fluent', 'sarcasm', 'terrible', 'texting']",🙂Mixed Signal,"['fluent', 'sarcasm']"
been single by choice. now choosing connection,"['single', 'choice', 'choosing', 'connection']",🌿Green Flag,['connection']
"looking for vibes, not titles","['looking', 'vibe', 'title']",🤷‍♂️No Clear Signal,[]
"Beach walks, starry nights, good vibes only.","['beach', 'walk', 'starry', 'night', 'good', 'vibe']",🤷‍♂️No Clear Signal,[]
"Can be stubborn, but I apologize first. 😅","['stubborn', 'apologize', 'first']",🌿Green Flag,['apologize']
i overthink everything,"['overthink', 'everything']",🚩Red Flag,['overthink']
quiet but savage,"['quiet', 'savage']",🌿Green Flag,['quiet']
loves midnight walks,"['love', 'midnight', 'walk']",🌿Green Flag,['love']
"Cat parent, flaky.","['cat', 'parent', 'flaky']",🤷‍♂️No Clear Signal,[]
coffee addict forever,"['coffee', 'addict', 'forever']",🌿Green Flag,['coffee']
"mostly chill, sometimes chaotic. but always kind.","['mostly', 'chill', 'sometimes', 'chaotic', 'always', 'kind']",🌿Green Flag,"['chill', 'always']"
I’m here to build something — not just pass time,"['im', 'build', 'something', 'pas', 'time']",🌿Green Flag,['something']
just existing lol,"['existing', 'lol']",🤷‍♂️No Clear Signal,[]
"Foodie, flaky mid-week.","['foodie', 'flaky', 'midweek']",🤷‍♂️No Clear Signal,[]
"Flirt responsibly, swipe carefully","['flirt', 'responsibly', 'swipe', 'carefully']",🚩Red Flag,['flirt']
Flirt level: dangerously charming,"['flirt', 'level', 'dangerously', 'charming']",🚩Red Flag,['flirt']
"I flirt shamelessly, think deeply.","['flirt', 'shamelessly', 'think', 'deeply']",🚩Red Flag,['flirt']
"I care too much, but only occasionally.","['care', 'much', 'occasionally']",🤷‍♂️No Clear Signal,[]
"I flirt, disappear, return with flowers.","['flirt', 'disappear', 'return', 'flower']",🚩Red Flag,['flirt']
loves surprises,"['love', 'surprise']",🌿Green Flag,['love']
Currently training for a Netflix marathon,"['currently', 'training', 'netflix', 'marathon']",🤷‍♂️No Clear Signal,[]
Likes dogs more than humans sometimes.,"['like', 'dog', 'human', 'sometimes']",🌿Green Flag,"['dog', 'human']"
overthink & snack,"['overthink', 'snack']",🚩Red Flag,['overthink']
"Loves karaoke, awkward dancing, and bad decisions.","['love', 'karaoke', 'awkward', 'dancing', 'bad', 'decision']",🙂Mixed Signal,"['love', 'dancing', 'bad']"
Loves long drives and open roads.,"['love', 'long', 'drive', 'open', 'road']",🌿Green Flag,['love']
"here to find my person, not a project","['find', 'person', 'project']",🤷‍♂️No Clear Signal,[]
"i ghost, dont worry","['ghost', 'dont', 'worry']",🙂Mixed Signal,"['dont', 'ghost']"
Currently ignoring responsibilities,"['currently', 'ignoring', 'responsibility']",🤷‍♂️No Clear Signal,[]
I flirt with everyone… but my heart is picky. 😏❤️,"['flirt', 'everyone', 'heart', 'picky']",🚩Red Flag,['flirt']
lowkey savage,"['lowkey', 'savage']",🤷‍♂️No Clear Signal,[]
"Beach hair, don’t care, coffee in hand.","['beach', 'hair', 'dont', 'care', 'coffee', 'hand']",🌿Green Flag,"['dont', 'coffee']"
friend zone expert,"['friend', 'zone', 'expert']",🤷‍♂️No Clear Signal,[]
coder vibes,"['coder', 'vibe']",🤷‍♂️No Clear Signal,[]
chaotic energy,"['chaotic', 'energy']",🤷‍♂️No Clear Signal,[]
Loves cozy blankets and rainy days.,"['love', 'cozy', 'blanket', 'rainy', 'day']",🌿Green Flag,['love']
probably online rn,"['probably', 'online', 'rn']",🤷‍♂️No Clear Signal,[]
Loves spontaneous road trips and starry nights.,"['love', 'spontaneous', 'road', 'trip', 'starry', 'night']",🌿Green Flag,['love']
Meme curator and expert napper 😂💤,"['meme', 'curator', 'expert', 'napper']",🤷‍♂️No Clear Signal,[]
lowkey flirty,"['lowkey', 'flirty']",🤷‍♂️No Clear Signal,[]
Professional overthinker,"['professional', 'overthinker']",🌿Green Flag,['professional']
Professional Netflix marathoner,"['professional', 'netflix', 'marathoner']",🌿Green Flag,['professional']
"Lazy Sundays, productive Mondays.","['lazy', 'sunday', 'productive', 'monday']",🤷‍♂️No Clear Signal,[]
"Fitness buff, sometimes judgmental.","['fitness', 'buff', 'sometimes', 'judgmental']",🤷‍♂️No Clear Signal,[]
loves stars 🌌,"['love', 'star']",🌿Green Flag,['love']
"Careful with me, I bite when stressed. 😅","['careful', 'bite', 'stressed']",🤷‍♂️No Clear Signal,[]
casual & messy,"['casual', 'messy']",🚩Red Flag,['messy']
Loves baking and sharing desserts,"['love', 'baking', 'sharing', 'dessert']",🌿Green Flag,['love']
Sweet but slightly toxic.,"['sweet', 'slightly', 'toxic']",🚩Red Flag,['toxic']
Dog mom/dad at heart.,"['dog', 'momdad', 'heart']",🌿Green Flag,['dog']
Dog mom and snack enthusiast 🐶🍫,"['dog', 'mom', 'snack', 'enthusiast']",🌿Green Flag,"['dog', 'enthusiast']"
"Flirt dangerously, nap professionally","['flirt', 'dangerously', 'nap', 'professionally']",🚩Red Flag,['flirt']
looking for someone to steal fries with,"['looking', 'someone', 'steal', 'fry']",🚩Red Flag,['steal']
Likes morning runs… hates waking up. 🏃‍♂️😴,"['like', 'morning', 'run', 'hate', 'waking']",🌿Green Flag,['morning']
SINGLE & SPICY,"['single', 'spicy']",🤷‍♂️No Clear Signal,[]
"Night owl, meme collector, chaos lover.","['night', 'owl', 'meme', 'collector', 'chaos', 'lover']",🙂Mixed Signal,"['lover', 'chaos']"
pizza time,"['pizza', 'time']",🌿Green Flag,['pizza']
Coffee addict looking for someone who laughs at bad jokes.,"['coffee', 'addict', 'looking', 'someone', 'laugh', 'bad', 'joke']",🙂Mixed Signal,"['coffee', 'laugh', 'bad']"
Flirt level: expert,"['flirt', 'level', 'expert']",🚩Red Flag,['flirt']
"Foodie, secretly judgmental.","['foodie', 'secretly', 'judgmental']",🤷‍♂️No Clear Signal,[]
introvert vibes forever,"['introvert', 'vibe', 'forever']",🤷‍♂️No Clear Signal,[]
could be your ex,"['could', 'ex']",🚩Red Flag,['ex']
socially awkward,"['socially', 'awkward']",🤷‍♂️No Clear Signal,[]
travel > money,"['travel', 'money']",🤷‍♂️No Clear Signal,[]
Dog mom looking for dog dad energy,"['dog', 'mom', 'looking', 'dog', 'dad', 'energy']",🌿Green Flag,"['dog', 'dog']"
Professional napper,"['professional', 'napper']",🌿Green Flag,['professional']
Dog mom looking for dog dad energy,"['dog', 'mom', 'looking', 'dog', 'dad', 'energy']",🌿Green Flag,"['dog', 'dog']"
messy hair dont care,"['messy', 'hair', 'dont', 'care']",🙂Mixed Signal,"['dont', 'messy']"
"Music, memes, and midnight snacks 🎶😂🍫","['music', 'meme', 'midnight', 'snack']",🤷‍♂️No Clear Signal,[]
i overthink,['overthink'],🚩Red Flag,['overthink']
"I may ghost you, but I’ll send memes","['may', 'ghost', 'ill', 'send', 'meme']",🚩Red Flag,['ghost']
hope you like therapy jokes & emotional intelligence,"['hope', 'like', 'therapy', 'joke', 'emotional', 'intelligence']",🌿Green Flag,"['hope', 'emotional']"
I like ppl who think deeply and laugh loudly,"['like', 'ppl', 'think', 'deeply', 'laugh', 'loudly']",🌿Green Flag,['laugh']
"Coffee, chaos, and a little bit of charm ☕🔥","['coffee', 'chaos', 'little', 'bit', 'charm']",🙂Mixed Signal,"['coffee', 'chaos']"
"Talks self-improvement, ignores feelings.","['talk', 'selfimprovement', 'ignores', 'feeling']",🤷‍♂️No Clear Signal,[]
Flirt dangerously,"['flirt', 'dangerously']",🚩Red Flag,['flirt']
"i’m working on myself. gym, journaling, therapy. also, i may flirt and panic. it’s a process.","['im', 'working', 'gym', 'journaling', 'therapy', 'also', 'may', 'flirt', 'panic', 'process']",🚩Red Flag,['flirt']
emotionally complex. sexually confusing,"['emotionally', 'complex', 'sexually', 'confusing']",🚩Red Flag,['complex']
Professional shower singer,"['professional', 'shower', 'singer']",🌿Green Flag,['professional']
chaos wrapped in lip gloss,"['chaos', 'wrapped', 'lip', 'gloss']",🚩Red Flag,['chaos']
chaotic brain energy,"['chaotic', 'brain', 'energy']",🤷‍♂️No Clear Signal,[]
i overthink,['overthink'],🚩Red Flag,['overthink']
I dance like chaos incarnate,"['dance', 'like', 'chaos', 'incarnate']",🚩Red Flag,['chaos']
Loves baking and tasting experiments.,"['love', 'baking', 'tasting', 'experiment']",🌿Green Flag,['love']
"Amateur chef, full-time snack enthusiast.","['amateur', 'chef', 'fulltime', 'snack', 'enthusiast']",🌿Green Flag,['enthusiast']
Just a kid at heart with a love for chaos 😏💖,"['kid', 'heart', 'love', 'chaos']",🙂Mixed Signal,"['love', 'chaos']"
"Will flirt, ghost, then come back like nothing happened","['flirt', 'ghost', 'come', 'back', 'like', 'nothing', 'happened']",🚩Red Flag,"['flirt', 'ghost']"
"Coffee lover, ghosted once.","['coffee', 'lover', 'ghosted']",🌿Green Flag,"['coffee', 'lover']"
"Music is life, but I talk too much. 🎶💬","['music', 'life', 'talk', 'much']",🌿Green Flag,['life']
Living life one playlist at a time 🎶💖,"['living', 'life', 'one', 'playlist', 'time']",🌿Green Flag,['life']
"Night owl, music enthusiast, chaos lover.","['night', 'owl', 'music', 'enthusiast', 'chaos', 'lover']",🙂Mixed Signal,"['enthusiast', 'lover', 'chaos']"
messy bun & chill,"['messy', 'bun', 'chill']",🙂Mixed Signal,"['chill', 'messy']"
chaotic but lovable,"['chaotic', 'lovable']",🤷‍♂️No Clear Signal,[]
Obsessed with street food and photography.,"['obsessed', 'street', 'food', 'photography']",🚩Red Flag,['obsessed']
Professional chaos coordinator,"['professional', 'chaos', 'coordinator']",🙂Mixed Signal,"['professional', 'chaos']"
naps are sacred,"['nap', 'sacred']",🤷‍♂️No Clear Signal,[]
"Sweet chaos, occasionally regretful.","['sweet', 'chaos', 'occasionally', 'regretful']",🚩Red Flag,['chaos']
"Reads constantly, sometimes manipulative.","['read', 'constantly', 'sometimes', 'manipulative']",🤷‍♂️No Clear Signal,[]
Loves memes more than humans. 😂,"['love', 'meme', 'human']",🌿Green Flag,"['love', 'human']"
Recovering overthinker seeking chaos partner,"['recovering', 'overthinker', 'seeking', 'chaos', 'partner']",🚩Red Flag,['chaos']
i hate small talk. let’s trauma bond,"['hate', 'small', 'talk', 'let', 'trauma', 'bond']",🙂Mixed Signal,"['small', 'trauma']"
"Flirting: chaotic, unplanned, cute","['flirting', 'chaotic', 'unplanned', 'cute']",🤷‍♂️No Clear Signal,[]
I ghost when I overthink.,"['ghost', 'overthink']",🚩Red Flag,"['ghost', 'overthink']"
i can change a tire and hold space for feelings,"['change', 'tire', 'hold', 'space', 'feeling']",🤷‍♂️No Clear Signal,[]
lazy but cute,"['lazy', 'cute']",🤷‍♂️No Clear Signal,[]
loves stars ✨,"['love', 'star']",🌿Green Flag,['love']
i break stuff by accident,"['break', 'stuff', 'accident']",🤷‍♂️No Clear Signal,[]
i write too many lists,"['write', 'many', 'list']",🤷‍♂️No Clear Signal,[]
"Pizza > everything else, fight me 🍕😎","['pizza', 'everything', 'else', 'fight']",🙂Mixed Signal,"['pizza', 'fight']"
Obsessed with fantasy novels and iced lattes.,"['obsessed', 'fantasy', 'novel', 'iced', 'latte']",🚩Red Flag,['obsessed']
likes long walks to fridge,"['like', 'long', 'walk', 'fridge']",🤷‍♂️No Clear Signal,[]
Obsessed with ice cream and sunsets.,"['obsessed', 'ice', 'cream', 'sunset']",🚩Red Flag,['obsessed']
honestly just here 2 judge pics,"['honestly', 'judge', 'pic']",🤷‍♂️No Clear Signal,[]
"Gym, coffee, chaos. 💪☕⚡","['gym', 'coffee', 'chaos']",🙂Mixed Signal,"['coffee', 'chaos']"
cant adult today,"['cant', 'adult', 'today']",🤷‍♂️No Clear Signal,[]
"Dog mom, human disaster","['dog', 'mom', 'human', 'disaster']",🌿Green Flag,"['dog', 'human']"
might ghost u,"['might', 'ghost', 'u']",🚩Red Flag,['ghost']
"I ghost, but I leave memes","['ghost', 'leave', 'meme']",🚩Red Flag,['ghost']
loves sunrises 🌅,"['love', 'sunrise']",🌿Green Flag,['love']
sarcasm & fun combined,"['sarcasm', 'fun', 'combined']",🚩Red Flag,['sarcasm']
"Professional overthinker, chaos enthusiast","['professional', 'overthinker', 'chaos', 'enthusiast']",🙂Mixed Signal,"['professional', 'enthusiast', 'chaos']"
"Loves brunch, ignores texts.","['love', 'brunch', 'ignores', 'text']",🙂Mixed Signal,"['love', 'brunch']"
"Sweet chaos, occasional chill.","['sweet', 'chaos', 'occasional', 'chill']",🙂Mixed Signal,"['chill', 'chaos']"
Obsessed with candles and cozy nights.,"['obsessed', 'candle', 'cozy', 'night']",🚩Red Flag,['obsessed']
"Gamer, avoids deep chats.","['gamer', 'avoids', 'deep', 'chat']",🌿Green Flag,['deep']
Pizza > Everything else,"['pizza', 'everything', 'else']",🌿Green Flag,['pizza']
"I binge, nap, repeat.","['binge', 'nap', 'repeat']",🤷‍♂️No Clear Signal,[]
"Sarcastic soul, soft heart","['sarcastic', 'soul', 'soft', 'heart']",🌿Green Flag,"['soul', 'soft']"
love memes & naps,"['love', 'meme', 'nap']",🌿Green Flag,['love']
Loves random adventures and spontaneous trips.,"['love', 'random', 'adventure', 'spontaneous', 'trip']",🌿Green Flag,['love']
looking 4 chaos & cuddles,"['looking', 'chaos', 'cuddle']",🚩Red Flag,['chaos']
"Loves dogs, coffee, and deep conversations. 🐶☕","['love', 'dog', 'coffee', 'deep', 'conversation']",🌿Green Flag,"['love', 'dog', 'coffee', 'deep']"
Bookworm with a love for coffee.,"['bookworm', 'love', 'coffee']",🌿Green Flag,"['bookworm', 'love', 'coffee']"
let’s be weird and honest and deeply safe,"['let', 'weird', 'honest', 'deeply', 'safe']",🌿Green Flag,"['honest', 'safe']"
"work hard, nap harder","['work', 'hard', 'nap', 'harder']",🤷‍♂️No Clear Signal,[]
will catch feelings but pretend i didn’t,"['catch', 'feeling', 'pretend', 'didnt']",🚩Red Flag,['pretend']
Caffeine-fueled overthinker,"['caffeinefueled', 'overthinker']",🤷‍♂️No Clear Signal,[]
Will steal your fries and your hoodie,"['steal', 'fry', 'hoodie']",🚩Red Flag,['steal']
Flirt like you mean it,"['flirt', 'like', 'mean']",🚩Red Flag,['flirt']
"I whisper to plants, they ignore me","['whisper', 'plant', 'ignore']",🤷‍♂️No Clear Signal,[]
ask me about my weirdly specific music playlists 🎶,"['ask', 'weirdly', 'specific', 'music', 'playlist']",🚩Red Flag,['weirdly']
"Amateur baker, professional snack enthusiast.","['amateur', 'baker', 'professional', 'snack', 'enthusiast']",🌿Green Flag,"['professional', 'enthusiast']"
Gym rat💪 coffee addict,"['gym', 'rat', 'coffee', 'addict']",🌿Green Flag,['coffee']
"love is built, not found. let’s build","['love', 'built', 'found', 'let', 'build']",🌿Green Flag,['love']
Introvert seeking someone to share headphones with.,"['introvert', 'seeking', 'someone', 'share', 'headphone']",🌿Green Flag,['share']
