bio,bio_cleaned,tokens,filtered_tokens,lemmatized_tokens
single not desperate. don’t get it twisted,single not desperate dont get it twisted,"['single', 'not', 'desperate', 'dont', 'get', 'it', 'twisted']","['single', 'desperate', 'dont', 'get', 'twisted']","['single', 'desperate', 'get', 'twist']"
"Obsessed with hiking, photography, and laughter.",obsessed with hiking photography and laughter,"['obsessed', 'with', 'hiking', 'photography', 'and', 'laughter']","['obsessed', 'hiking', 'photography', 'laughter']","['obsess', 'hike', 'photography', 'laughter']"
"I text too much, then ignore.",i text too much then ignore,"['i', 'text', 'too', 'much', 'then', 'ignore']","['text', 'much', 'ignore']","['text', 'much', 'ignore']"
Loves spontaneous road trips and bad jokes.,loves spontaneous road trips and bad jokes,"['loves', 'spontaneous', 'road', 'trips', 'and', 'bad', 'jokes']","['loves', 'spontaneous', 'road', 'trips', 'bad', 'jokes']","['love', 'spontaneous', 'road', 'trip', 'bad', 'joke']"
brb napping,brb napping,"['brb', 'napping']","['brb', 'napping']","['brb', 'napping']"
Funny but emotionally unavailable.,funny but emotionally unavailable,"['funny', 'but', 'emotionally', 'unavailable']","['funny', 'emotionally', 'unavailable']","['funny', 'emotionally', 'unavailable']"
love dogs & tacos,love dogs  tacos,"['love', 'dogs', 'tacos']","['love', 'dogs', 'tacos']","['love', 'dog', 'tacos']"
"love sarcasm, hate liars",love sarcasm hate liars,"['love', 'sarcasm', 'hate', 'liars']","['love', 'sarcasm', 'hate', 'liars']","['love', 'sarcasm', 'hate', 'liar']"
TALK NERDY TO ME,talk nerdy to me,"['talk', 'nerdy', 'to', 'me']","['talk', 'nerdy']","['talk', 'nerdy']"
Professional napper,professional napper,"['professional', 'napper']","['professional', 'napper']","['professional', 'napper']"
I flirt with everyone… but my heart is picky. 😏❤️,i flirt with everyone but my heart is picky,"['i', 'flirt', 'with', 'everyone', 'but', 'my', 'heart', 'is', 'picky']","['flirt', 'everyone', 'heart', 'picky']","['flirt', 'heart', 'picky']"
Loves beaches and mountain trails.,loves beaches and mountain trails,"['loves', 'beaches', 'and', 'mountain', 'trails']","['loves', 'beaches', 'mountain', 'trails']","['love', 'beach', 'mountain', 'trail']"
Loves trivia and random facts.,loves trivia and random facts,"['loves', 'trivia', 'and', 'random', 'facts']","['loves', 'trivia', 'random', 'facts']","['love', 'trivia', 'random', 'fact']"
"I love deep talks, hate drama.",i love deep talks hate drama,"['i', 'love', 'deep', 'talks', 'hate', 'drama']","['love', 'deep', 'talks', 'hate', 'drama']","['love', 'deep', 'talk', 'hate', 'drama']"
Life’s too short for bad vibes ✨😎,lifes too short for bad vibes,"['lifes', 'too', 'short', 'for', 'bad', 'vibes']","['lifes', 'short', 'bad', 'vibes']","['life', 'short', 'bad', 'vibe']"
Currently training for a snack marathon,currently training for a snack marathon,"['currently', 'training', 'for', 'a', 'snack', 'marathon']","['currently', 'training', 'snack', 'marathon']","['currently', 'train', 'snack', 'marathon']"
single and sad,single and sad,"['single', 'and', 'sad']","['single', 'sad']","['single', 'sad']"
I ghost to protect feelings (mine and yours).,i ghost to protect feelings mine and yours,"['i', 'ghost', 'to', 'protect', 'feelings', 'mine', 'and', 'yours']","['ghost', 'protect', 'feelings', 'mine']","['ghost', 'protect', 'feeling', 'mine']"
Loves baking and sharing desserts,loves baking and sharing desserts,"['loves', 'baking', 'and', 'sharing', 'desserts']","['loves', 'baking', 'sharing', 'desserts']","['love', 'bake', 'share', 'dessert']"
pizza time,pizza time,"['pizza', 'time']","['pizza', 'time']","['pizza', 'time']"
Dog mom seeking dog dad,dog mom seeking dog dad,"['dog', 'mom', 'seeking', 'dog', 'dad']","['dog', 'mom', 'seeking', 'dog', 'dad']","['dog', 'mom', 'seek', 'dog', 'dad']"
"I flirt shamelessly, think deeply.",i flirt shamelessly think deeply,"['i', 'flirt', 'shamelessly', 'think', 'deeply']","['flirt', 'shamelessly', 'think', 'deeply']","['flirt', 'shamelessly', 'think', 'deeply']"
maybe your future ex idk,maybe your future ex idk,"['maybe', 'your', 'future', 'ex', 'idk']","['maybe', 'future', 'ex', 'idk']","['maybe', 'future', 'ex', 'idk']"
always late,always late,"['always', 'late']","['always', 'late']","['always', 'late']"
single & spicy,single  spicy,"['single', 'spicy']","['single', 'spicy']","['single', 'spicy']"
passion project: trying every croissant in the city 🥐,passion project trying every croissant in the city,"['passion', 'project', 'trying', 'every', 'croissant', 'in', 'the', 'city']","['passion', 'project', 'trying', 'every', 'croissant', 'city']","['passion', 'project', 'try', 'every', 'croissant', 'city']"
loyalty’s cute. money’s cuter,loyaltys cute moneys cuter,"['loyaltys', 'cute', 'moneys', 'cuter']","['loyaltys', 'cute', 'moneys', 'cuter']","['loyalty', 'cute', 'money', 'cuter']"
either my soulmate or someone i ghost,either my soulmate or someone i ghost,"['either', 'my', 'soulmate', 'or', 'someone', 'i', 'ghost']","['either', 'soulmate', 'someone', 'ghost']","['either', 'soulmate', 'someone', 'ghost']"
introvert with fun side,introvert with fun side,"['introvert', 'with', 'fun', 'side']","['introvert', 'fun', 'side']","['introvert', 'fun', 'side']"
Introverted extrovert,introverted extrovert,"['introverted', 'extrovert']","['introverted', 'extrovert']","['introvert', 'extrovert']"
i like chaos,i like chaos,"['i', 'like', 'chaos']","['like', 'chaos']","['like', 'chaos']"
"bad at math, good at life",bad at math good at life,"['bad', 'at', 'math', 'good', 'at', 'life']","['bad', 'math', 'good', 'life']","['bad', 'math', 'good', 'life']"
"Likes quiet nights, chaotic mornings. 🌙☀️",likes quiet nights chaotic mornings,"['likes', 'quiet', 'nights', 'chaotic', 'mornings']","['likes', 'quiet', 'nights', 'chaotic', 'mornings']","['like', 'quiet', 'night', 'chaotic', 'morning']"
chaos incarnate,chaos incarnate,"['chaos', 'incarnate']","['chaos', 'incarnate']","['chaos', 'incarnate']"
"6/10 looks, 11/10 emotional maturity",looks  emotional maturity,"['looks', 'emotional', 'maturity']","['looks', 'emotional', 'maturity']","['look', 'emotional', 'maturity']"
"Talks too much, listens too little… sometimes. 😅",talks too much listens too little sometimes,"['talks', 'too', 'much', 'listens', 'too', 'little', 'sometimes']","['talks', 'much', 'listens', 'little', 'sometimes']","['talk', 'much', 'listens', 'sometimes']"
"Always has a sarcastic comment ready, occasionally sweet.",always has a sarcastic comment ready occasionally sweet,"['always', 'has', 'a', 'sarcastic', 'comment', 'ready', 'occasionally', 'sweet']","['always', 'sarcastic', 'comment', 'ready', 'occasionally', 'sweet']","['always', 'sarcastic', 'comment', 'ready', 'occasionally', 'sweet']"
"Fitness lover, pizza enthusiast.",fitness lover pizza enthusiast,"['fitness', 'lover', 'pizza', 'enthusiast']","['fitness', 'lover', 'pizza', 'enthusiast']","['fitness', 'lover', 'pizza', 'enthusiast']"
"Night owl, meme collector, snack hoarder.",night owl meme collector snack hoarder,"['night', 'owl', 'meme', 'collector', 'snack', 'hoarder']","['night', 'owl', 'meme', 'collector', 'snack', 'hoarder']","['night', 'owl', 'meme', 'collector', 'snack', 'hoarder']"
love dogs more than ppl,love dogs more than ppl,"['love', 'dogs', 'more', 'than', 'ppl']","['love', 'dogs', 'ppl']","['love', 'dog', 'ppl']"
"Professional overthinker, chaos bringer",professional overthinker chaos bringer,"['professional', 'overthinker', 'chaos', 'bringer']","['professional', 'overthinker', 'chaos', 'bringer']","['professional', 'overthinker', 'chaos', 'bringer']"
"Loves coffee, chaos, and cuddle sessions.",loves coffee chaos and cuddle sessions,"['loves', 'coffee', 'chaos', 'and', 'cuddle', 'sessions']","['loves', 'coffee', 'chaos', 'cuddle', 'sessions']","['love', 'coffee', 'chaos', 'cuddle', 'session']"
i nap daily,i nap daily,"['i', 'nap', 'daily']","['nap', 'daily']","['nap', 'daily']"
lowkey chaotic,lowkey chaotic,"['lowkey', 'chaotic']","['lowkey', 'chaotic']","['lowkey', 'chaotic']"
loves slow dancing and faster replies,loves slow dancing and faster replies,"['loves', 'slow', 'dancing', 'and', 'faster', 'replies']","['loves', 'slow', 'dancing', 'faster', 'replies']","['love', 'slow', 'dance', 'faster', 'reply']"
sarcasm 24/7,sarcasm,['sarcasm'],['sarcasm'],['sarcasm']
"Fun, flirty, slightly chaotic. ⚡💋",fun flirty slightly chaotic,"['fun', 'flirty', 'slightly', 'chaotic']","['fun', 'flirty', 'slightly', 'chaotic']","['fun', 'flirty', 'slightly', 'chaotic']"
I like my coffee black and my humor dark,i like my coffee black and my humor dark,"['i', 'like', 'my', 'coffee', 'black', 'and', 'my', 'humor', 'dark']","['like', 'coffee', 'black', 'humor', 'dark']","['like', 'coffee', 'black', 'humor', 'dark']"
"Loves pets, ghosted once.",loves pets ghosted once,"['loves', 'pets', 'ghosted', 'once']","['loves', 'pets', 'ghosted']","['love', 'pet', 'ghost']"
"Obsessed with sunsets, hikes, and coffee.",obsessed with sunsets hikes and coffee,"['obsessed', 'with', 'sunsets', 'hikes', 'and', 'coffee']","['obsessed', 'sunsets', 'hikes', 'coffee']","['obsess', 'sunset', 'hike', 'coffee']"
I binge Netflix and judge your taste in shows.,i binge netflix and judge your taste in shows,"['i', 'binge', 'netflix', 'and', 'judge', 'your', 'taste', 'in', 'shows']","['binge', 'netflix', 'judge', 'taste', 'shows']","['binge', 'netflix', 'judge', 'taste', 'show']"
chaos incarnate,chaos incarnate,"['chaos', 'incarnate']","['chaos', 'incarnate']","['chaos', 'incarnate']"
Travel addict stuck in a 9–5 mind.,travel addict stuck in a  mind,"['travel', 'addict', 'stuck', 'in', 'a', 'mind']","['travel', 'addict', 'stuck', 'mind']","['travel', 'addict', 'stick', 'mind']"
obsessed w reality tv,obsessed w reality tv,"['obsessed', 'w', 'reality', 'tv']","['obsessed', 'w', 'reality', 'tv']","['obsess', 'reality', 'tv']"
lowkey dramatic,lowkey dramatic,"['lowkey', 'dramatic']","['lowkey', 'dramatic']","['lowkey', 'dramatic']"
i talk too much,i talk too much,"['i', 'talk', 'too', 'much']","['talk', 'much']","['talk', 'much']"
sarcasm is my cardio,sarcasm is my cardio,"['sarcasm', 'is', 'my', 'cardio']","['sarcasm', 'cardio']","['sarcasm', 'cardio']"
overthinker & chaotic,overthinker  chaotic,"['overthinker', 'chaotic']","['overthinker', 'chaotic']","['overthinker', 'chaotic']"
"Loves movies, hates spoilers.",loves movies hates spoilers,"['loves', 'movies', 'hates', 'spoilers']","['loves', 'movies', 'hates', 'spoilers']","['love', 'movie', 'hat', 'spoiler']"
"Will steal your fries, politely",will steal your fries politely,"['will', 'steal', 'your', 'fries', 'politely']","['steal', 'fries', 'politely']","['steal', 'fry', 'politely']"
kind of lost,kind of lost,"['kind', 'of', 'lost']","['kind', 'lost']","['kind', 'lose']"
obsessed with memes,obsessed with memes,"['obsessed', 'with', 'memes']","['obsessed', 'memes']","['obsess', 'meme']"
"Loves sarcasm, hates small talk.",loves sarcasm hates small talk,"['loves', 'sarcasm', 'hates', 'small', 'talk']","['loves', 'sarcasm', 'hates', 'small', 'talk']","['love', 'sarcasm', 'hat', 'small', 'talk']"
"Love long walks, long talks, and love itself",love long walks long talks and love itself,"['love', 'long', 'walks', 'long', 'talks', 'and', 'love', 'itself']","['love', 'long', 'walks', 'long', 'talks', 'love']","['love', 'long', 'walk', 'long', 'talk', 'love']"
i sing badly but loud,i sing badly but loud,"['i', 'sing', 'badly', 'but', 'loud']","['sing', 'badly', 'loud']","['sing', 'badly', 'loud']"
obsessed w candles,obsessed w candles,"['obsessed', 'w', 'candles']","['obsessed', 'w', 'candles']","['obsess', 'candle']"
could be bad influence,could be bad influence,"['could', 'be', 'bad', 'influence']","['could', 'bad', 'influence']","['could', 'bad', 'influence']"
Fluent in sarcasm and dad jokes,fluent in sarcasm and dad jokes,"['fluent', 'in', 'sarcasm', 'and', 'dad', 'jokes']","['fluent', 'sarcasm', 'dad', 'jokes']","['fluent', 'sarcasm', 'dad', 'joke']"
"I ghost, but only for your own good.",i ghost but only for your own good,"['i', 'ghost', 'but', 'only', 'for', 'your', 'own', 'good']","['ghost', 'good']","['ghost', 'good']"
kinda emo,kinda emo,"['kinda', 'emo']","['kinda', 'emo']","['kinda', 'emo']"
naps > humans,naps  humans,"['naps', 'humans']","['naps', 'humans']","['nap', 'human']"
Loves spontaneous adventures and bad decisions.,loves spontaneous adventures and bad decisions,"['loves', 'spontaneous', 'adventures', 'and', 'bad', 'decisions']","['loves', 'spontaneous', 'adventures', 'bad', 'decisions']","['love', 'spontaneous', 'adventure', 'bad', 'decision']"
"Sweet chaos, occasional chill.",sweet chaos occasional chill,"['sweet', 'chaos', 'occasional', 'chill']","['sweet', 'chaos', 'occasional', 'chill']","['sweet', 'chaos', 'occasional', 'chill']"
Can eat 10 samosas in one sitting,can eat  samosas in one sitting,"['can', 'eat', 'samosas', 'in', 'one', 'sitting']","['eat', 'samosas', 'one', 'sitting']","['eat', 'samosas', 'one', 'sit']"
"I smile a lot, but secretly judge. 😏",i smile a lot but secretly judge,"['i', 'smile', 'a', 'lot', 'but', 'secretly', 'judge']","['smile', 'lot', 'secretly', 'judge']","['smile', 'lot', 'secretly', 'judge']"
lonely but funny,lonely but funny,"['lonely', 'but', 'funny']","['lonely', 'funny']","['lonely', 'funny']"
"Explorer at heart, grounded in reality.",explorer at heart grounded in reality,"['explorer', 'at', 'heart', 'grounded', 'in', 'reality']","['explorer', 'heart', 'grounded', 'reality']","['explorer', 'heart', 'ground', 'reality']"
gym rat tbh,gym rat tbh,"['gym', 'rat', 'tbh']","['gym', 'rat', 'tbh']","['gym', 'rat', 'tbh']"
just existing,just existing,"['just', 'existing']",['existing'],['exist']
"Fitness junkie, occasional Netflix binger.",fitness junkie occasional netflix binger,"['fitness', 'junkie', 'occasional', 'netflix', 'binger']","['fitness', 'junkie', 'occasional', 'netflix', 'binger']","['fitness', 'junkie', 'occasional', 'netflix', 'binger']"
Obsessed with true crime and spontaneous adventures.,obsessed with true crime and spontaneous adventures,"['obsessed', 'with', 'true', 'crime', 'and', 'spontaneous', 'adventures']","['obsessed', 'true', 'crime', 'spontaneous', 'adventures']","['obsess', 'true', 'crime', 'spontaneous', 'adventure']"
pizza addict,pizza addict,"['pizza', 'addict']","['pizza', 'addict']","['pizza', 'addict']"
Bookworm with a love for fantasy.,bookworm with a love for fantasy,"['bookworm', 'with', 'a', 'love', 'for', 'fantasy']","['bookworm', 'love', 'fantasy']","['bookworm', 'love', 'fantasy']"
i swear too much tbh,i swear too much tbh,"['i', 'swear', 'too', 'much', 'tbh']","['swear', 'much', 'tbh']","['swear', 'much', 'tbh']"
shy but deadly,shy but deadly,"['shy', 'but', 'deadly']","['shy', 'deadly']","['shy', 'deadly']"
kinda wild,kinda wild,"['kinda', 'wild']","['kinda', 'wild']","['kinda', 'wild']"
"Night owl, music enthusiast, chaos lover.",night owl music enthusiast chaos lover,"['night', 'owl', 'music', 'enthusiast', 'chaos', 'lover']","['night', 'owl', 'music', 'enthusiast', 'chaos', 'lover']","['night', 'owl', 'music', 'enthusiast', 'chaos', 'lover']"
Sweet but messy energy.,sweet but messy energy,"['sweet', 'but', 'messy', 'energy']","['sweet', 'messy', 'energy']","['sweet', 'messy', 'energy']"
i ghost sometimes deal,i ghost sometimes deal,"['i', 'ghost', 'sometimes', 'deal']","['ghost', 'sometimes', 'deal']","['ghost', 'sometimes', 'deal']"
"Flirt responsibly, snack recklessly",flirt responsibly snack recklessly,"['flirt', 'responsibly', 'snack', 'recklessly']","['flirt', 'responsibly', 'snack', 'recklessly']","['flirt', 'responsibly', 'snack', 'recklessly']"
messy AF,messy af,"['messy', 'af']","['messy', 'af']","['messy', 'af']"
not your type probably,not your type probably,"['not', 'your', 'type', 'probably']","['type', 'probably']","['type', 'probably']"
pizza & tacos,pizza  tacos,"['pizza', 'tacos']","['pizza', 'tacos']","['pizza', 'taco']"
"I’ll text you all day, then disappear for hours.",ill text you all day then disappear for hours,"['ill', 'text', 'you', 'all', 'day', 'then', 'disappear', 'for', 'hours']","['ill', 'text', 'day', 'disappear', 'hours']","['text', 'day', 'disappear', 'hour']"
